Account Name,Street Address,City,State,First Name,Last Name,Title,Phone,Loan Number,Loan Amount,Interest Rate,Maturity Date
BARSTOW VILLAGE LLC,2600 5 Mile Rd,Chicago,IL,Arsh,William,Property Manager,(312) 939-4900,1053,6668350,0.09957,4/7/2016
BARTOW CONVALESCENT CENTER,10 Phoenix Row,Lincolnshire,IL,Alvin,Warnke,Property Manager,(312) 346-8600,1558,7799775,0.07323,6/3/2016
BATAVIA APTS,2600 NE 5 Mile Rd,Chicago,IL,Vaccari,Smith,Recorded Owner,(312) 337-2200,1023,10690923,0.09745,7/2/2015
BATAVIA REHABILITATION & HEALT,5940 W Touhy Ave,Chicago,IL,Kurt,Mirmiran,Architect,(214) 443-6080,1559,4058596,0.07642,4/25/2017
BATAVIA VILLAGE,44 S Bayles Ave,North Adams,MA,Kakhian,Miller,Recorded Owner,(310) 472-3826,1920,8481267,0.06764,5/26/2016
BATES STREET APTS,2620 W Washington Blvd,Chicago,IL,Derek,Mallon,Developer,(704) 521-8484,1574,7540266,0.06859,7/24/2020
BATES TERRACE,461 W Melrose St,New York,NY,Janis,Kalist,Leasing Company,(803) 779-1400,1117,2741749,0.08846,7/30/2015
BATH MANOR,300 Tri-State International,New York,NY,Jennifer,Curry,Developer,(804) 237-8264,1912,10991188,0.07766,6/13/2017
BATON ROUGE GENERAL MED CNTR,2954 W Lake St,Sherman Oaks,CA,Charles,Ackerman,Architect,(804) 782-6802,1710,1106807,0.06828,1/30/2016
BATTLE HILL HOUSES,2628-2634 N Hampden Ct,Elizabeth,NJ,Mark,Ruden,Developer,(202) 371-1220,1904,5142597,0.06308,3/2/2018
BATTLES FARM,155 Hickman Dr,New York,NY,Gerald,Scampio,Architect,(202) 408-8659,1568,9999750,0.08111,8/22/2017
BAUGHMAN TOWERS,1111 N Dearborn Ave,New York,NY,Tina,Ferrer,Recorded Owner,(571) 382-1200,1759,1757535,0.06207,7/21/2017
BAXTER TERRACE,3130 N Lake Shore Dr,New York,NY,Michael,Tellon,Property Manager,(571) 382-1210,1269,4960124,0.06692,4/6/2017
BAY LAKE ASSISTED LIVING,"280 Park Ave, Suite 30th floor",Toledo,OH,Nathan,Goldman,Property Manager,(877) 745-8551,1362,10418812,0.05124,3/30/2017
BAY MEADOWS APTS,800 Bethany Dr,Chicago,IL,Adam,DeVenuti,Developer,(202) 289-6800,1369,7864400,0.07048,7/7/2017
BAY PARK CENTER,111 E 61st St,Chicago,IL,Thomas,Helling,Architect,(616) 458-4009,1893,10704457,0.07762,7/13/2016
BAY POINTE LUXRY SUITE,"13949 Ventura Blvd, Suite 350",Stamford,CT,Francis,Waltin,Recorded Owner,(617) 989-9300,1367,4044109,0.07688,8/19/2015
BAY POINTE LUXURY SUITES-PHASE,350 W Oakdale Ave,Ann Arbor,MI,Eric,Van Soe,Property Manager,(617) 222-3290,1747,10741599,0.05901,4/4/2017
BAY POINTE NURSING PAVILION,3510 N Pine Grove Ave,Stamford,CT,Terry,Windago,Architect,(215) 880-5527,1446,5046211,0.09802,1/18/2016
BAY RIDGE GARDENS,1 North Ave,Chicago,IL,Eric,Epstin,Recorded Owner,(215) 561-2700,1291,7013184,0.05146,9/30/2017
